PUBCHEM_RESULT_TAG,SMILES,OUTCOME
1,C1=CC(=C(C=C1OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N)Cl)C#N,1
2,CCC1=CC(=CC=C1)OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N,0
3,C1=CC(=C(C(=C1)Cl)Cl)OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N,1
4,C1=CC(=C(C=C1C(F)(F)F)OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N)F,0
5,CC1=C(C=CC(=C1)Cl)OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N,1
6,C1=CC(=C(C=C1OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N)C(F)(F)F)C#N,1
7,C1=CC(=C(C=C1F)F)OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N,1
8,COC1=CC(=CC(=C1)F)OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N,1
9,C1=CC=C(C(=C1)OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N)Cl,1
10,C1=CC(=C(C=C1S(=O)(=O)NC2=NC=C(C=C2)F)C#N)OC3=CC(=CC(=C3)F)F,1
11,C1=CC(=C(C=C1C#N)F)OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N,1
12,C1=CC(=C(C=C1S(=O)(=O)NC2=NC=C(C=C2)F)C#N)OC3=C(C=C(C=C3)Cl)Cl,1
13,C1=CC(=CC=C1C#N)OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N,1
14,C1=CC(=CC(=C1)OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N)C#N,1
15,CC1=CC(=CC(=C1)Cl)OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N,1
16,C1=CC(=C(C(=C1)F)F)OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N,1
17,C1=CC=C(C(=C1)C#N)OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N,1
18,C1=CC(=CC(=C1)OC(F)(F)F)OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N,0
19,C1=CC(=C(C=C1OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N)C#N)F,1
20,C1=CC(=CC=C1OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N)Cl,1
21,CC1=C(C=C(C=C1)F)OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N,1
22,CC1=C(C=C(C=C1)OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N)Cl,1
23,C1=CC(=CC(=C1)OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N)C(F)(F)F,0
24,C1=CC(=C(C(=C1)Cl)F)OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N,1
25,C1=CC(=CC(=C1)Cl)OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N,1
26,CC1=CC(=C(C=C1C#N)OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N)Cl,1
27,C1=CC=C(C(=C1)OC2=C(C=C(C=C2)S(=O)(=O)NC3=NC=C(C=C3)F)C#N)OC(F)(F)F,1
28,C1=CC(=C(C=C1S(=O)(=O)NC2=NC=C(C=C2)F)C#N)OC3=CC(=CC(=C3)Cl)F,1
